codigo,id_global,prompt_origem,ciclo,subcategoria,titulo_atividade,temas_generos_cobertos,habilidades_bncc,paginas_estimadas,tipo_material,sobreposicoes,status
LP-12-GRAM-01,16,prompt 4.md,1º-2º ano,Gramática e Ortografia Aprofundada,Pontuação — Os Sinais que Dão Vida ao Texto,"ponto final, interrogação, exclamação, vírgula, dois-pontos, travessão",EF01LP10;EF01LP11;EF02LP07;EF02LP08;EF02LP09,19,atividade do aluno,"Aprofundamento definitivo de pontuação (ver LP-12-ALF-05 e LP-35-GRAM-01 Caso 8)",não gerado
LP-12-GRAM-02,17,prompt 4.md,1º-2º ano,Gramática e Ortografia Aprofundada,Ortografia Nível 1 — Sons e Letras,"relação letra-som, vogais/consoantes, P/B T/D F/V C/G",EF01LP02;EF01LP03;EF01LP04;EF01LP05;EF01LP07,17,atividade do aluno,-,não gerado
LP-12-GRAM-03,18,prompt 4.md,1º-2º ano,Gramática e Ortografia Aprofundada,Ortografia Nível 2 — Dificuldades Ortográficas,"dígrafos NH/LH/CH, SS/RR, M antes de P/B, S com som de Z, C/Ç, G/J, QU/GU, H inicial",EF02LP01;EF02LP03;EF02LP04;EF02LP05;EF02LP07;EF02LP08,19,atividade do aluno,"Aprofundamento definitivo de ortografia do ciclo (ver LP-35-GRAM-03, que retoma em nível de revisão para 3º-5º)",não gerado
LP-12-GRAM-04,19,prompt 4.md,1º-2º ano,Gramática e Ortografia Aprofundada,Acentuação — As Marquinhas das Vogais,"acento agudo, circunflexo, til, cedilha, plural ÃO→ÕES",EF02LP01;EF02LP03;EF02LP07,8,atividade do aluno,"OUTLIER de profundidade — ver padrao_profundidade.md",não gerado
LP-12-GRAM-05,20,prompt 4.md,1º-2º ano,Gramática e Ortografia Aprofundada,Classes de Palavras — Os Nomes das Coisas,"substantivo/adjetivo/verbo, concordância simples",EF01LP08;EF01LP11;EF02LP07;EF02LP08;EF02LP10,8,atividade do aluno,"OUTLIER de profundidade — ver padrao_profundidade.md; aprofundamento definitivo de classes de palavras do ciclo (ver LP-12-ALF-05 e LP-35-GRAM-01)",não gerado
LP-12-GRAM-06,21,prompt 4.md,1º-2º ano,Gramática e Ortografia Aprofundada,Formação de Frases e Parágrafos,"frase, parágrafo, conectivos",EF01LP08;EF01LP11;EF02LP07;EF02LP09;EF02LP16,9,atividade do aluno,-,não gerado
LP-12-AVAL-01,22,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Sondagem de Escrita — Diagnóstico Inicial,"níveis de escrita (Ferreiro/Teberosky), ditado diagnóstico",EF01LP02;EF01LP05;EF01LP07;EF02LP01;EF02LP03,22,instrumento do professor,"Alimenta dados reutilizados em LP-12-AVAL-05 e LP-12-AVAL-06 — ver redundancias.md",não gerado
LP-12-AVAL-02,23,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Sondagem de Leitura — Diagnóstico,"níveis de fluência leitora inicial",EF01LP01;EF01LP04;EF01LP16;EF02LP01;EF02LP10,8,instrumento do professor,-,não gerado
LP-12-AVAL-03,24,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Avaliação Diagnóstica de Português (1º ano),"avaliação somativa de 20 questões",EF01LP01 a EF01LP20,5,instrumento do professor,-,não gerado
LP-12-AVAL-04,25,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Avaliação Diagnóstica de Português (2º ano),"avaliação somativa de 20 questões",EF02LP01 a EF02LP27,5,instrumento do professor,-,não gerado
LP-12-AVAL-05,26,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Ficha de Acompanhamento Individual Bimestral,"checklist de habilidades por bimestre",todas do ciclo,6,instrumento do professor,"Reaproveita nível de leitura/escrita de LP-12-AVAL-01/02 — ver redundancias.md",não gerado
LP-12-AVAL-06,27,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Relatório Descritivo do Aluno — Modelo,"modelo narrativo + banco de frases prontas",todas do ciclo,5,instrumento do professor,"Reaproveita nível de leitura/escrita de LP-12-AVAL-01/02 — ver redundancias.md",não gerado
LP-12-AVAL-07,28,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Registro de Produção Textual — Portfólio do Aluno,"portfólio mensal de produções",todas — produção textual,13,atividade do aluno,-,não gerado
LP-12-AVAL-08,29,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Rubrica de Avaliação de Produção Textual,"rubricas por gênero (narrativa, bilhete, convite, receita, lista)",todas — produção textual,9,instrumento do professor,-,não gerado
LP-12-AVAL-09,30,prompt 5.md,1º-2º ano,Avaliação e Instrumentos do Professor,Kit Datas Comemorativas — Produções Temáticas,"11 gêneros associados a datas do calendário escolar",todas — produção textual sazonal,11,atividade do aluno,"LP-35-AVAL-10 é o equivalente do outro ciclo — ver redundancias.md (checar não repetir gêneros/textos-modelo)",não gerado
LP-35-GRAM-01,31,prompt 6.md,3º-5º ano,"Gramática, Ortografia e Vocabulário (3º-5º ano)",Detetive Gramatical — O Jogo da Investigação,"classes de palavras, tempos verbais, pronomes, advérbios, sujeito/predicado, concordância, ortografia, pontuação, figuras de linguagem",EF03LP07;EF03LP08;EF04LP06;EF04LP07;EF05LP04;EF05LP05,17,atividade do aluno,"Revisão/aprofundamento de LP-12-GRAM-01 (Caso 8 — pontuação) e LP-12-GRAM-05 (classes de palavras); base para figuras de linguagem retomada em LP-35-PROD-05",não gerado
LP-35-GRAM-02,32,prompt 6.md,3º-5º ano,"Gramática, Ortografia e Vocabulário (3º-5º ano)",Desafio das Palavras Cruzadas Gramaticais,"sinônimos/antônimos, classes de palavras, coletivos, aumentativo/diminutivo, homônimos/parônimos, prefixos/sufixos",EF03LP06;EF04LP04;EF04LP06;EF05LP03;EF05LP05,11,atividade do aluno,-,não gerado
LP-35-GRAM-03,33,prompt 6.md,3º-5º ano,"Gramática, Ortografia e Vocabulário (3º-5º ano)",Torneio de Ortografia — Soletrando,"listas ortográficas 3º/4º/5º ano, ditado, torneio em duplas",EF03LP01;EF03LP02;EF04LP01;EF04LP02;EF05LP01;EF05LP02,10,atividade do aluno,"Revisão consolidada da ortografia trabalhada em LP-12-GRAM-02/03 — nível de aprofundamento adequado, não redundante",não gerado
LP-35-GRAM-04,34,prompt 6.md,3º-5º ano,"Gramática, Ortografia e Vocabulário (3º-5º ano)",Jogo da Produção Textual — Roleta de Gêneros,"produção rápida em 10 gêneros sorteados",EF03LP20;EF03LP21;EF04LP13;EF04LP21;EF05LP12;EF05LP24,13,jogo recortável,"Sobreposição parcial de gêneros com LP-35-PROD-01 a 06 (fábula, notícia, artigo de opinião, crônica, poema, HQ, resenha) — ver redundancias.md",não gerado
LP-35-PROD-01,35,prompt 7.md,3º-5º ano,Produção Textual Aprofundada (3º-5º ano),Oficina de Fábulas e Contos,"fábula, conto popular brasileiro, elementos narrativos",EF03LP20;EF03LP21;EF03LP25;EF03LP26;EF03LP27,11,atividade do aluno,"Compartilha o 'Checklist do Escritor' de LP-12-PROD-11; sobreposição de gênero fábula com a roleta LP-35-GRAM-04",não gerado
LP-35-PROD-02,36,prompt 7.md,3º-5º ano,Produção Textual Aprofundada (3º-5º ano),Oficina de Carta e Diário,"carta pessoal, carta do leitor, carta de reclamação, diário reflexivo, diário de personagem",EF03LP20;EF03LP22;EF04LP13;EF04LP15;EF04LP21,12,atividade do aluno,"Aprofundamento intencional do gênero diário já visto em LP-12-LEI-09",não gerado
LP-35-PROD-03,37,prompt 7.md,3º-5º ano,Produção Textual Aprofundada (3º-5º ano),Oficina de Notícia e Reportagem,"notícia, lead, entrevista, reportagem, fato x opinião",EF04LP13;EF04LP15;EF04LP16;EF05LP15;EF05LP16;EF05LP17,11,atividade do aluno,"Fato x opinião retomado em LP-35-PROD-04 e nas avaliações LP-35-AVAL-02/03/04/05 — progressão intencional, ver redundancias.md",não gerado
LP-35-PROD-04,38,prompt 7.md,3º-5º ano,Produção Textual Aprofundada (3º-5º ano),Oficina de Texto Argumentativo,"tese, argumento, contra-argumento, dissertação introdutória, debate escrito",EF05LP15;EF05LP16;EF05LP17;EF05LP19;EF05LP24;EF05LP25,19,atividade do aluno,"Fato x opinião (ver LP-35-PROD-03); estrutura reaproveitada no artigo de opinião de LP-35-AVAL-04/07",não gerado
LP-35-PROD-05,39,prompt 7.md,3º-5º ano,Produção Textual Aprofundada (3º-5º ano),Oficina de Cordel e Poema,"quadrinha, acróstico, cordel, haicai, poema livre/concreto, slam",EF03LP27;EF04LP14;EF04LP27;EF05LP12;EF05LP26;EF05LP28,11,atividade do aluno,"Cordel também aparece em LP-35-AVAL-03(Q25) e LP-35-AVAL-10 (kit de datas) — variações de produção, não redundância de conteúdo teórico",não gerado
LP-35-PROD-06,40,prompt 7.md,3º-5º ano,Produção Textual Aprofundada (3º-5º ano),Oficina de Biografia e Autobiografia,"biografia, autobiografia reflexiva, pesquisa e entrevista",EF04LP13;EF04LP21;EF05LP15;EF05LP17;EF05LP25,10,atividade do aluno,-,não gerado
LP-35-AVAL-01,41,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Sondagem de Fluência Leitora,"PPM, precisão, prosódia, compreensão",EF03LP01;EF04LP01;EF05LP01;EF35LP01;EF35LP03,19,instrumento do professor,-,não gerado
LP-35-AVAL-02,42,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Avaliação Diagnóstica de Português — 3º ano,"25 questões estilo SAEB",EF03LP01 a EF03LP27,7,instrumento do professor,-,não gerado
LP-35-AVAL-03,43,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Avaliação Diagnóstica de Português — 4º ano,"25 questões estilo SAEB",EF04LP01 a EF04LP27,7,instrumento do professor,-,não gerado
LP-35-AVAL-04,44,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Avaliação Diagnóstica de Português — 5º ano,"25 questões estilo SAEB, foco argumentativo",EF05LP01 a EF05LP28,7,instrumento do professor,-,não gerado
LP-35-AVAL-05,45,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Simulado Estilo Prova Brasil/SAEB — 5º ano,"22 questões objetivas mapeadas por descritor D1-D15",Descritores SAEB D1 a D15,10,instrumento do professor,-,não gerado
LP-35-AVAL-06,46,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Ficha de Acompanhamento Individual Bimestral,"checklist de habilidades 3º/4º/5º ano + descritores SAEB",todas do ciclo,4,instrumento do professor,"Reaproveita dados de LP-35-AVAL-01 e LP-35-AVAL-05 — ver redundancias.md",não gerado
LP-35-AVAL-07,47,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Rubrica de Produção Textual por Gênero,"rubricas: narrativa, notícia, artigo de opinião, crônica, poema/cordel, biografia",todas — produção textual,9,instrumento do professor,-,não gerado
LP-35-AVAL-08,48,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Portfólio de Produção Textual,"portfólio mensal multi-gênero",todas — produção textual,14,atividade do aluno,-,não gerado
LP-35-AVAL-09,49,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Relatório Descritivo — Modelo 3º-5º ano,"modelo narrativo + banco de frases + dados de fluência/SAEB",todas do ciclo,4,instrumento do professor,"Reaproveita dados de LP-35-AVAL-01 e LP-35-AVAL-05 — ver redundancias.md",não gerado
LP-35-AVAL-10,50,prompt 8.md,3º-5º ano,Avaliação e Instrumentos do Professor (3º-5º ano),Kit Datas Comemorativas — Produções Temáticas,"11 gêneros associados a datas do calendário escolar (versão 3º-5º)",todas — produção textual sazonal,11,atividade do aluno,"LP-12-AVAL-09 é o equivalente do outro ciclo — ver redundancias.md",não gerado
